"reference","source_image","screen","route","production_file","evidence_after","evidence_bytes","implementation_status","external_blocker","visual_review_status"
"4821","IMG_4821.PNG","dashboard","/dashboard","lib/features/dashboard/dashboard_page.dart","test/visual_closure/goldens/visual_closure_dashboard_phone.png","95146","production_state_captured_independently_reviewed","","approved_visual_equivalence"
"4822","IMG_4822.PNG","dashboard","/dashboard","lib/features/dashboard/dashboard_page.dart","test/visual_closure/goldens/visual_closure_dashboard_phone_2.png","62274","production_state_captured_independently_reviewed","","approved_visual_equivalence"
"4823","IMG_4823.PNG","dashboard","/dashboard","lib/features/dashboard/dashboard_page.dart","test/visual_closure/goldens/visual_closure_dashboard_phone_3.png","41742","production_state_captured_independently_reviewed","","approved_visual_equivalence"
"4824","IMG_4824.PNG","dashboard","/dashboard","lib/features/dashboard/dashboard_page.dart","test/visual_closure/goldens/visual_closure_dashboard_phone_4.png","23593","production_state_captured_independently_reviewed","","approved_visual_equivalence"
"4825","IMG_4825.PNG","dashboard","/dashboard","lib/features/dashboard/dashboard_page.dart","test/visual_closure/goldens/visual_closure_dashboard_phone_5.png","29661","production_state_captured_independently_reviewed","","approved_visual_equivalence"
"4826","IMG_4826.PNG","dashboard","/dashboard","lib/features/dashboard/dashboard_page.dart","test/visual_closure/goldens/visual_closure_dashboard_phone_6.png","33514","production_state_captured_independently_reviewed","","approved_visual_equivalence"
"4827","IMG_4827.PNG","dashboard","/dashboard","lib/features/dashboard/dashboard_page.dart","test/visual_closure/goldens/visual_closure_dashboard_phone_7.png","193936","production_state_captured_independently_reviewed","","approved_visual_equivalence"
"4828","IMG_4828.PNG","sleep","/wellness/sleep","lib/features/wellness/presentation/sleep_tracker_page.dart","test/visual_closure/goldens/visual_closure_sleep_learn_phone.png","58104","production_state_captured_independently_reviewed","","approved_visual_equivalence"
"4829","IMG_4829.PNG","sleep","/wellness/sleep","lib/features/wellness/presentation/sleep_tracker_page.dart","test/visual_closure/goldens/visual_closure_sleep_learn_phone_2.png","60783","production_state_captured_independently_reviewed","","approved_visual_equivalence"
"4830","IMG_4830.PNG","sleep","/wellness/sleep","lib/features/wellness/presentation/sleep_tracker_page.dart","test/visual_closure/goldens/visual_closure_sleep_learn_phone_3.png","55460","production_state_captured_independently_reviewed","","approved_visual_equivalence"
"4831","IMG_4831.PNG","sleep","/wellness/sleep","lib/features/wellness/presentation/sleep_tracker_page.dart","test/visual_closure/goldens/visual_closure_sleep_trend_phone.png","54138","production_state_captured_independently_reviewed","","approved_visual_equivalence"
"4832","IMG_4832.PNG","food search","/daily-log?focus=meal","lib/features/daily_log/daily_log_page.dart","test/visual_closure/goldens/visual_closure_food_meal_search_phone.png","11797","production_state_captured_independently_reviewed","","approved_visual_equivalence"
"4833","IMG_4833.PNG","recipe discovery","/wellness/recipes","lib/features/wellness/presentation/professional_content_library_page.dart","test/visual_closure/goldens/visual_closure_recipe_discovery_phone.png","198166","production_state_captured_independently_reviewed","","approved_visual_equivalence"
"4834","IMG_4834.PNG","recipe discovery","/wellness/recipes","lib/features/wellness/presentation/professional_content_library_page.dart","test/visual_closure/goldens/visual_closure_recipe_discovery_phone_2.png","118352","production_state_captured_independently_reviewed","","approved_visual_equivalence"
