"slot","variation_id","processed_path","processed_sha256","processed_bytes","raw_evidence_path","selected_source","playable","review_status"
"resistance-upper-body|Bench push-up","resistance-upper-body-bench-push-up-technique","G:\BIL_Workout_Media\bulk_1000\processed\resistance-upper-body-bench-push-up-technique.mp4","64576f0ca0a60138b8c72fddac5b5e4a12ef4465502629bc3ca86ef47ce1059a","10928621","G:\BIL_Workout_Media\bulk_1000\raw\resistance-upper-body-bench-push-up-technique.mp4","processed","False","requires_release_review"
"resistance-upper-body|Incline push-up","resistance-upper-body-incline-push-up-technique","G:\BIL_Workout_Media\bulk_1000\processed\resistance-upper-body-incline-push-up-technique.mp4","80f0548d03fe8c13a799922f65ab37fb70c68f980b667ae545393a4876b6983b","12965185","G:\BIL_Workout_Media\bulk_1000\raw\resistance-upper-body-incline-push-up-technique.mp4","processed","False","requires_release_review"
"resistance-upper-body|Knee push-up","resistance-upper-body-knee-push-up-technique","G:\BIL_Workout_Media\bulk_1000\processed\resistance-upper-body-knee-push-up-technique.mp4","7033b72831289536b19bbe45f1104e769309313cf0b05e66021240cb493646fd","10164826","G:\BIL_Workout_Media\bulk_1000\raw\resistance-upper-body-knee-push-up-technique.mp4","processed","False","requires_release_review"
"resistance-upper-body|Dumbbell floor press","resistance-upper-body-dumbbell-floor-press-technique","G:\BIL_Workout_Media\bulk_1000\processed\resistance-upper-body-dumbbell-floor-press-technique.mp4","863ff85940255de10674270d077f3f78fcfd8be1821680d1ff290a8dc11d663a","11825399","G:\BIL_Workout_Media\bulk_1000\raw\resistance-upper-body-dumbbell-floor-press-technique.mp4","processed","False","requires_release_review"
"resistance-upper-body|Dumbbell bench press","resistance-upper-body-dumbbell-bench-press-technique","G:\BIL_Workout_Media\bulk_1000\processed\resistance-upper-body-dumbbell-bench-press-technique.mp4","48ea3545a60ba665ed1003388a21b389a1ee3609587dd1521c16ee41def8671f","13289875","G:\BIL_Workout_Media\bulk_1000\raw\resistance-upper-body-dumbbell-bench-press-technique.mp4","processed","False","requires_release_review"
"resistance-upper-body|Standing dumbbell shoulder press","resistance-upper-body-standing-dumbbell-shoulder-press-technique","G:\BIL_Workout_Media\bulk_1000\processed\resistance-upper-body-standing-dumbbell-shoulder-press-technique.mp4","6fcfbe0e0c8087c1bbeb42687b22ecfc52bc984ae2cc68715780199846423b41","11410729","G:\BIL_Workout_Media\bulk_1000\raw\resistance-upper-body-standing-dumbbell-shoulder-press-technique.mp4","processed","False","requires_release_review"
"resistance-upper-body|Seated dumbbell shoulder press","resistance-upper-body-seated-dumbbell-shoulder-press-technique","G:\BIL_Workout_Media\bulk_1000\processed\resistance-upper-body-seated-dumbbell-shoulder-press-technique.mp4","035c2c0b7dff357b9274da43a6784040a9f03149a5fb82400dfaf791c5cf245b","9164387","G:\BIL_Workout_Media\bulk_1000\raw\resistance-upper-body-seated-dumbbell-shoulder-press-technique.mp4","processed","False","requires_release_review"
"resistance-upper-body|One-arm dumbbell row","resistance-upper-body-one-arm-dumbbell-row-technique","G:\BIL_Workout_Media\bulk_1000\processed\resistance-upper-body-one-arm-dumbbell-row-technique.mp4","6706db1499fbfa46b0b2dd1ddca04a1f92f32c693de40e58ce289350c59f904d","12007797","G:\BIL_Workout_Media\bulk_1000\raw\resistance-upper-body-one-arm-dumbbell-row-technique.mp4","processed","False","requires_release_review"
"resistance-upper-body|Chest-supported dumbbell row","resistance-upper-body-chest-supported-dumbbell-row-technique","G:\BIL_Workout_Media\bulk_1000\processed\resistance-upper-body-chest-supported-dumbbell-row-technique.mp4","fbd534a484cf29fbb2a4d2df2fc86d2d1e4497f43e5f83e22447c031a7d02261","12783807","G:\BIL_Workout_Media\bulk_1000\raw\resistance-upper-body-chest-supported-dumbbell-row-technique.mp4","processed","False","requires_release_review"
"resistance-upper-body|Resistance-band row","resistance-upper-body-resistance-band-row-technique","G:\BIL_Workout_Media\bulk_1000\processed\resistance-upper-body-resistance-band-row-technique.mp4","4b7d613abd3e1d612e192b5f7a67862d64b3481880bba28655422471fe327131","14161579","G:\BIL_Workout_Media\bulk_1000\raw\resistance-upper-body-resistance-band-row-technique.mp4","processed","False","requires_release_review"
